Ville,Description_Temps,Température_Ressentie (°C),Humidite_WM,Pression_Atmosphérique (hPa),Niveau_Mer (hPa),Pression_Sol (hPa),Vitesse_Vent (m/sec),Direction_Vent (DEG),Rafales_Vent (m/sec),Précipitations_1h (mm/h),Couverture_Nuageuse (%),Heure_Lever_Soleil,Heure_Coucher_Soleil
Bordeaux,ciel dégagé,27.23,44,1022,1022,1017,5.14,50,0.0,0,0,2025-06-17 04:15:41,2025-06-17 19:50:46
Montpellier,ciel dégagé,30.34,37,1019,1019,1009,3.09,120,0.0,0,0,2025-06-17 04:02:38,2025-06-17 19:28:23
Strasbourg,ciel dégagé,26.02,44,1024,1024,1007,4.12,50,0.0,0,0,2025-06-17 03:26:13,2025-06-17 19:33:41
Paris,ciel dégagé,27.04,37,1025,1025,1015,2.06,30,0.0,0,0,2025-06-17 03:46:32,2025-06-17 19:56:43
Rennes,ciel dégagé,26.81,39,1025,1025,1018,3.6,320,0.0,0,0,2025-06-17 04:06:17,2025-06-17 20:09:06
Nantes,ciel dégagé,27.34,34,1025,1025,1021,3.6,100,0.0,0,0,2025-06-17 04:09:40,2025-06-17 20:04:40
Marseille,nuageux,27.78,50,1020,1020,1013,4.54,185,6.05,0,60,2025-06-17 03:57:41,2025-06-17 19:21:01
Toulouse,ciel dégagé,28.05,32,1022,1022,1000,3.6,320,0.0,0,0,2025-06-17 04:12:27,2025-06-17 19:38:02
Lyon,ciel dégagé,26.3,69,1022,1022,990,4.63,350,0.0,0,0,2025-06-17 03:50:19,2025-06-17 19:32:47
Bordeaux,ciel dégagé,27.76,39,1022,1022,1017,3.09,40,0.0,0,0,2025-06-17 04:15:41,2025-06-17 19:50:46
Montpellier,ciel dégagé,28.8,45,1019,1019,1009,5.14,200,0.0,0,0,2025-06-17 04:02:38,2025-06-17 19:28:23
Strasbourg,ciel dégagé,26.92,41,1023,1023,1007,3.6,40,0.0,0,0,2025-06-17 03:26:13,2025-06-17 19:33:41
Paris,ciel dégagé,27.43,36,1025,1025,1014,3.09,350,0.0,0,0,2025-06-17 03:46:32,2025-06-17 19:56:43
Rennes,ciel dégagé,27.41,36,1025,1025,1017,3.6,300,0.0,0,0,2025-06-17 04:06:17,2025-06-17 20:09:06
Nantes,ciel dégagé,27.65,39,1024,1024,1020,3.09,50,0.0,0,0,2025-06-17 04:09:40,2025-06-17 20:04:40
Marseille,ciel dégagé,29.07,45,1020,1020,1012,3.58,261,4.02,0,5,2025-06-17 03:57:41,2025-06-17 19:21:01
Toulouse,ciel dégagé,28.81,30,1022,1022,1000,3.6,330,0.0,0,0,2025-06-17 04:12:26,2025-06-17 19:38:00
Lyon,ciel dégagé,28.93,66,1022,1022,990,4.63,350,0.0,0,0,2025-06-17 03:50:20,2025-06-17 19:32:47
Bordeaux,ciel dégagé,28.3,34,1021,1021,1017,4.12,20,0.0,0,0,2025-06-17 04:15:41,2025-06-17 19:50:46
Montpellier,ciel dégagé,31.02,42,1018,1018,1008,4.63,190,0.0,0,0,2025-06-17 04:02:38,2025-06-17 19:28:23
Strasbourg,ciel dégagé,26.8,39,1023,1023,1006,4.12,20,0.0,0,0,2025-06-17 03:26:13,2025-06-17 19:33:41
